#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
TNFRSF10B	TNFSF10	1846494	1843591	9606.ENSP00000276431	9606.ENSP00000241261	0	0	0	0	0	0.866	0.9	0.98	0.999
PLAU	SERPINE1	1855748	1842959	9606.ENSP00000361850	9606.ENSP00000223095	0.074	0	0	0	0.104	0.884	0.9	0.921	0.999
SERPINE1	PLAT	1842959	1842802	9606.ENSP00000223095	9606.ENSP00000220809	0.074	0	0	0	0.055	0.884	0.9	0.966	0.999
TIMP2	MMP2	1845213	1842719	9606.ENSP00000262768	9606.ENSP00000219070	0	0	0	0	0.17	0.901	0.9	0.967	0.999
IL7R	IL7	1848815	1845425	9606.ENSP00000306157	9606.ENSP00000263851	0	0	0	0	0	0.866	0.9	0.962	0.999
MET	HGF	1849944	1842916	9606.ENSP00000317272	9606.ENSP00000222390	0	0	0	0	0	0.875	0.9	0.964	0.999
TNFRSF11B	TNFSF11	1847859	1843537	9606.ENSP00000297350	9606.ENSP00000239849	0	0	0	0	0	0.861	0.9	0.974	0.999
KIT	KITLG	1847112	1843134	9606.ENSP00000288135	9606.ENSP00000228280	0	0	0	0	0.054	0.884	0.9	0.972	0.999
PLAU	PLAUR	1855748	1852201	9606.ENSP00000361850	9606.ENSP00000339328	0	0	0	0	0.228	0.874	0.9	0.942	0.999
SELP	SELPLG	1845393	1843143	9606.ENSP00000263686	9606.ENSP00000228463	0	0	0	0	0	0.866	0.9	0.926	0.998
TNFSF10	TNFRSF10A	1843591	1842814	9606.ENSP00000241261	9606.ENSP00000221132	0	0	0	0	0	0.36	0.9	0.976	0.998
IL6R	IL6	1854808	1844631	9606.ENSP00000357470	9606.ENSP00000258743	0	0	0	0	0	0.866	0.9	0.919	0.998
MMP9	TIMP1	1855661	1842705	9606.ENSP00000361405	9606.ENSP00000218388	0	0	0	0	0.052	0.528	0.9	0.974	0.998
GAS6	AXL	1851398	1848254	9606.ENSP00000331831	9606.ENSP00000301178	0	0	0	0	0.088	0.866	0.8	0.905	0.997
CASP8	FAS	1853692	1853242	9606.ENSP00000351273	9606.ENSP00000347979	0	0	0	0	0.043	0.78	0.9	0.883	0.997
TNFRSF11A	TNFSF11	1863918	1843537	9606.ENSP00000465500	9606.ENSP00000239849	0	0	0	0	0	0.861	0.9	0.784	0.996
CASP8	TNFRSF10A	1853692	1842814	9606.ENSP00000351273	9606.ENSP00000221132	0	0	0	0	0.093	0.408	0.9	0.92	0.995
CASP8	TNFSF10	1853692	1843591	9606.ENSP00000351273	9606.ENSP00000241261	0	0	0	0	0.084	0.36	0.9	0.926	0.995
CXCL10	CCL5	1848754	1847396	9606.ENSP00000305651	9606.ENSP00000293272	0	0	0	0	0.3	0	0.9	0.926	0.994
IL8	CCL5	1848852	1847396	9606.ENSP00000306512	9606.ENSP00000293272	0	0	0	0	0.071	0.36	0.9	0.911	0.994
EGFR	CDH1	1846445	1844988	9606.ENSP00000275493	9606.ENSP00000261769	0	0	0	0	0.054	0.387	0.9	0.897	0.993
TNFSF14	TNFRSF14	1864071	1853239	9606.ENSP00000469049	9606.ENSP00000347948	0	0	0	0	0	0.885	0.8	0.727	0.993
MMP3	TIMP1	1848108	1842705	9606.ENSP00000299855	9606.ENSP00000218388	0	0	0	0	0.072	0.901	0	0.929	0.993
TNFSF13B	TNFRSF13B	1856399	1844957	9606.ENSP00000365048	9606.ENSP00000261652	0	0	0	0	0	0.36	0.9	0.907	0.993
CASP8	TNFRSF10B	1853692	1846494	9606.ENSP00000351273	9606.ENSP00000276431	0	0	0	0	0	0.408	0.9	0.869	0.991
SELL	SELPLG	1843434	1843143	9606.ENSP00000236147	9606.ENSP00000228463	0	0	0	0	0.11	0.36	0.9	0.875	0.991
ITGAM	ICAM1	1862188	1845628	9606.ENSP00000441691	9606.ENSP00000264832	0	0	0	0	0	0.36	0.9	0.88	0.991
VEGFA	HGF	1855611	1842916	9606.ENSP00000361125	9606.ENSP00000222390	0	0	0	0	0	0	0.9	0.917	0.991
GP1BA	VWF	1851142	1844904	9606.ENSP00000329380	9606.ENSP00000261405	0	0	0	0	0	0.36	0.9	0.879	0.991
ITGB2	ICAM1	1848511	1845628	9606.ENSP00000303242	9606.ENSP00000264832	0	0	0	0	0.054	0.36	0.9	0.872	0.991
SELE	SELPLG	1851385	1843143	9606.ENSP00000331736	9606.ENSP00000228463	0	0	0	0	0	0.407	0.9	0.852	0.99
HSPG2	NID1	1856167	1845497	9606.ENSP00000363827	9606.ENSP00000264187	0	0	0	0	0.073	0.377	0.9	0.853	0.99
PLAUR	SERPINE1	1852201	1842959	9606.ENSP00000339328	9606.ENSP00000223095	0	0	0	0	0.138	0	0.9	0.887	0.989
OSMR	OSM	1846370	1842507	9606.ENSP00000274276	9606.ENSP00000215781	0	0	0	0	0	0.407	0.9	0.838	0.989
GAS6	MERTK	1851398	1847572	9606.ENSP00000331831	9606.ENSP00000295408	0	0	0	0	0	0.36	0.9	0.852	0.989
SRC	CDH1	1853652	1844988	9606.ENSP00000350941	9606.ENSP00000261769	0	0	0	0	0	0.363	0.9	0.849	0.989
LIFR	OSM	1845354	1842507	9606.ENSP00000263409	9606.ENSP00000215781	0	0	0	0	0	0.36	0.9	0.843	0.989
VEGFA	SRC	1855611	1853652	9606.ENSP00000361125	9606.ENSP00000350941	0	0	0	0	0	0.098	0.9	0.897	0.989
VEGFA	VWF	1855611	1844904	9606.ENSP00000361125	9606.ENSP00000261405	0	0	0	0	0	0	0.9	0.891	0.988
MMP9	VEGFA	1855661	1855611	9606.ENSP00000361405	9606.ENSP00000361125	0	0	0	0	0.045	0	0.8	0.939	0.987
TNFRSF10C	TNFSF10	1853425	1843591	9606.ENSP00000349324	9606.ENSP00000241261	0	0	0	0	0.072	0.36	0.9	0.813	0.987
CXCL9	CXCL10	1854250	1848754	9606.ENSP00000354901	9606.ENSP00000305651	0	0	0	0.834	0.861	0	0.9	0.924	0.987
